id1,id2,pano1,pano2,winner
1125,719,RfMcg7KTt9TBvQbRdG4A1Q,Ce_ngDGsEH-PAfg1Z1Qfew,right
1020,1462,7GL8cBodPF_zREjdftbt8g,oQfdqMMncfOW0BXKOUepLw,none
510,1175,_tN5tZY-xE_JpVK90YkKNg,_W2lMxs12yJcuY0MCHIxjQ,none
1041,1416,ALrcP3CNO39xS3TGLp8cvg,W9sE4p6j06xTrc_mKVq6cA,none
1004,1280,4Mjjff7_Ao226kbAYmqVrA,oy1cFR_Qwagg4LsGo-P2ww,left
365,162,6EK140DVs5AOzTzdczhAoQ,1V2VtP7FkqHmaVOhuZdFHA,none
1254,680,kq83z9R06ZIRMnQBbw80NA,22c7e6_ihyPmsv_5R-4epw,none
402,1410,FMS2vVg-B0m8u_X1O6gqZA,T73XMr2D7MXRIm-zhOxfXw,left
1044,148,AmpXQK2K91N1_op301wZcg,vFAKse1VdykjvAi7QkZ_iw,none
1262,1253,mLiqBqAux3wZKFfXcSiprg,kj4ZGxjgZ20kSDfOTESA7Q,left
486,1239,XVa61ZKkEKErpf7H_V952Q,iV0Rmsw8BKZTqeDzreP_Wg,none
1215,605,g8cwkOkUug8WshR4BR1Hjw,or6EYLQijI6CvcQfzpQD6Q,right
1222,317,gZMT7TinRPVNfcWP_55FAA,vTbgTlPcmZHGbLAQRuyFqA,right
852,314,c63P1dMnIB5U-L6hCjkQyA,v1BmBrdQfJzqHmBg4NjGIg,right
626,221,ti7NLx5b4WJJmI5YhLw_BQ,PLJbg5jWWYxCocfHFCw6uQ,right
498,104,Z5Pdq7NBSDmdxziqAfZhww,ao13ZVDmwGjy0kppTjvvAA,right
110,212,dNVuUqOjbF5Avi_qycvyMA,LC24WMACLHY6htv3Xg5M3A,none
398,473,Etf91MiJ6h3N11sIUl5xGA,UHhr8B776NwV2krFcnpLiQ,none
1032,128,9HMMxqcNyT52JdGs_YWEeA,nAF69yj5W0lrLo_31mDPug,right
1280,1184,oy1cFR_Qwagg4LsGo-P2ww,aXKr-ylPcX2pdrA1l3p2vQ,left
422,555,KJB2vJgbJO4e4x2Sh-mKTA,fQshxH3GC82GOB4LxSXHdA,left
1454,468,kTSErmUWfX0TzFawSWS0TQ,TVLitWoUzQawTyNhliP-4A,right
308,880,rDkSLQiVJv_XvPrh4wuoDw,j0wYivkh9kh8DdSqwodW-Q,none
688,146,435fPDm5YbbTz_yOpeadyg,uYT6GhMejMut4_K_lFCz3g,right
1026,123,7rOYgwp2KM1c89Eno6jHbQ,ke3KZmqClmjcOHPg_wUmiA,right
517,749,bGbBRUbfNYLbjpTvfrKKfw,Idxk4PKHNPJeYsQDSuq1vw,right
962,1267,x8-o9QD0DLifMpU-HOYyeA,mrX86cDjCDa5aqzpBsCqSQ,left
653,138,yMGdzZ76ybsqg86Ttd4Mtg,r1yEg7VHm77KmUd4Yt2LUA,left
1037,720,9OASakc6HeNuqlGvqHURsw,CtmmYtt5i3cCeNTb0P8rDg,none
1233,53,hl-zQ0l48xP6UUFw4i4rtw,Cqynu0xEljW7u1mlNm0Whw,left
784,37,RuhsBQygu_gRdh0Wb16X9A,7ccul9lfnCcMmupynvusHw,none
984,928,1VWu_5qESKOfspP-HY_Dpw,qjDHy4lkCddhyaCwuOFvtg,none
792,947,TKFWtG2oKszZZlG60mMdVA,uJQb02QNfBDVGLZPGE4BFw,left
509,29,_tMzk9_0oNh6QErtKj1LDw,5rqmAPqJ2wqM3sooMajYVQ,right
1396,178,NhPXFKTPYGUqB5wXP2HQ9g,7ttkN-h6ApBZ6dqxxwRXgw,left
1279,1047,oqgGfy8Vp4NpHnJ8PnUeXQ,B-uzythxlDJM--GoZGvjpw,left
802,692,UnoM9wAJNrX5v2yRh5d0Ew,51015ie9AidiuzK_PS4C3g,right
169,261,5madtFZT7AUyJ0bzXpLCtQ,apM2PeoUusYA84wRF1xRAg,right
213,497,LbAnK213u0BBCjrQbj4MOA,Z4GM-BQ8zc2Z8e1zsjIGWQ,none
584,595,ksHzDKBTJybVSp4JXNIH5w,nPZgJJQ0UzKZPdimCI6QCQ,none
1335,1062,zNqpIP5rE54WLAg0BavckA,D87cwJF4f9GRLedvSS7SfA,right
173,517,7J-xtuwnZJgSr-YbOAzJ4w,bGbBRUbfNYLbjpTvfrKKfw,right
615,915,rb93zI1dpSFr3ZjOJtM4qw,oLqqmee18tRGZVEngAC60A,right
267,1392,btJmQmwtFzPxhr8jC7OARQ,LzL7oaOV-waOwQ1cH4dtNw,none
645,237,whIIvMoDnaotPukiu34kzg,Tawos3oHoP2-Bd-nk3b2Bw,left
244,533,XhazKWM0oVjTCxlXw_42cg,dSdw3QbtQnS35-T7dSUk2w,none
975,269,-vYRqZuAPNEL5EmGEHFoXg,dvNWVWjTNCqZa-08xyHFAQ,right
490,444,Y00S9NBJ1bHJ90pN6eoq6w,Org6eBJHSzQcqDxRtBXA6A,none
605,1463,or6EYLQijI6CvcQfzpQD6Q,oj9QChDO6uKR4gGJEkD9sQ,left
1120,317,QMIhk6cu_eg4VfdtQscz9g,vTbgTlPcmZHGbLAQRuyFqA,none
29,701,5rqmAPqJ2wqM3sooMajYVQ,7iOBFcXjcUsoJsiAINVxOw,right
885,1486,jmnF5knBnzvvipeVH926Zw,yvp_fILp-3EsioD2oc6w_Q,right
1354,18,6cGpIvMlQ7KWfgVQaCd6nA,3qQuv9-3wxrrJ40B1ezuvQ,none
253,856,_IxpCmbUT06358d6JHW-jQ,d0ziE-7XQoIns-zV5rchOA,left
902,1133,m-Gyo_yXq7qteRP3J4ru_Q,TjfjGCtrQIU3G-MWOg5nFQ,left
810,636,WDVqyL6eOp5zKYwwHOqjdg,uh2e5ZwM20ET2Re5KrCKVQ,none
681,1054,27d-mSLXfd3Umk7CzNyB5w,C-VUPxCLDTb7jLIj2SKaUA,none
775,817,Q4PNhjm43WZxmpQMi5zpSQ,WmJH2KBldQYH6hv1aF_NIg,none
31,451,6VrWF__KSn47wRvAtgfsxA,QTqVgXQT4hxSA-Rac9KGUA,left
443,226,Ocdf8hRusm9d6VqweLMStw,PxJn9gJABWyPPcAnf3IH4Q,right
100,1002,ZZqQ2EI5zFkyl7DXI5hGvQ,3hyWccvFkWcRCekA729gaA,left
1377,205,F9qrtxxtMYTZagYmgAaSHg,IFM3ZiANTKyg1KECK1wFbg,none
213,1316,LbAnK213u0BBCjrQbj4MOA,wGW0RLVhr6NWmw4JFWmfXA,right
1235,422,hrtf1X4Gs67pAjjc9xdmyQ,KJB2vJgbJO4e4x2Sh-mKTA,right
73,318,LlhidSfcUbbj6JObA3Kt-w,vjEdrqmhvooWlocdOCfcpw,right
238,623,TyXhwsGY8hxl6_ZJ6HaGHw,tIfIpRK08QnzsQ4RHUUPzA,right
722,353,D4J4zPe6hIK4D0mKOOU3KQ,42ojX4AUrqhJZdi8RB_qrA,left
99,528,ZXUFUXxQYiENae0v3yXijQ,cIC9LHNTSGNR8vfSxuLPJw,right
623,817,tIfIpRK08QnzsQ4RHUUPzA,WmJH2KBldQYH6hv1aF_NIg,left
400,653,EvagOBxKTiCppZxvN8y-Zg,yMGdzZ76ybsqg86Ttd4Mtg,left
474,357,UitFIHz0jc9If0HExYOS-g,4e8TxAOPuivhAcnlXlFC6g,right
1467,762,rQngAozfAotrZ5LqeT_9Cg,NGkxHeiM-eAua5Z06KwcNw,right
312,1335,t6NWXe0OZ3Aau1DUSTE3nA,zNqpIP5rE54WLAg0BavckA,right
579,528,k7DkEovRJBwxk4P2Lz9Jqg,cIC9LHNTSGNR8vfSxuLPJw,right
287,201,k9x0vuUcEO0V9_hRps_hRA,HPJnfrGo6SRkBVRa0fNyBw,left
229,1351,R_WED1jWicfEH21uOUv1iQ,5Iix7yeep4K35e1Jcl3a9A,left
477,674,VFNVxxZYKryYZSwupDfjVg,0vtV-3stF-CPJdjmE5UsOg,left
1390,1370,L-0hYsXpRimy0Z-iVBNt8g,C9UJKUZC6NBZQdyyoDfEbA,none
587,955,lU8qWaj0GzvWbD9oQxMEzA,vjilPFxFkMRtlpPXrFXBjg,none
494,752,YhYCfMOFXQvADGxB1SyzyA,KddTKaZk4xgty7uaxLLNgw,left
10,56,2bQTLF3iBiw0T4JIcd4mbw,EIs1rOmPBkP_fpkG6pkldw,left
1343,911,1x6Oh6UmGNKstCV3ccGTOw,nw3zyQCRcxXRREtdaoOJjQ,none
282,1290,hG8bI55F2Slgx1INCkKnyA,r8k_NqkGlx7BWJNN9Q2fKg,right
689,284,4WyHt_PQGM7Q2AG6FP_ccA,iXHrH2I9sZEYRylJ-nUgNw,right
1024,37,7cne65vGwwS9bCcIaSCiig,7ccul9lfnCcMmupynvusHw,right
1370,639,C9UJKUZC6NBZQdyyoDfEbA,vPmsQjdT6AgDr2YLrFaTCQ,none
1429,247,bWIDYBwqWmqr46n_v9_xGQ,YclU9-ECFZhJumlTuHTr3g,left
893,999,l7M-Gkm_kKUn2_twkkLm1w,3TmLMOe2U3UTk5NynJbVfw,right
1280,124,oy1cFR_Qwagg4LsGo-P2ww,liP81HhYNtP0K22SQoU7fw,none
1085,1032,KX4V7vTisWx1Udk68CBGUg,9HMMxqcNyT52JdGs_YWEeA,none
1378,394,GirYMKEksiiPXE69F7jj_g,E5PdhN5-7uSERxhUyHZn5w,right
406,951,FgYTQgwwT3hvvtk0xSGIGw,vKSfaDDaEkYyQD-7y2BHjQ,left
153,699,zJWBnYGf_xWgzIjXcjnSGA,7LyLiHoDItg5qbRLlDaAdQ,right
470,1488,UFaOXVIi6ZqYFlVM27hR8g,zbJc4b-2xKFS76UhSCQ9ww,right
97,926,ZF--S52i3q_b8B3V4A3tAQ,qUh9ShyKsO2elBZM7jR-uQ,none
1275,161,niQUxfEcQtaenKF1FFCIZQ,0txdUOJgHPkBYnhOcYOkpw,none
859,603,d9L9BRh8yf5KKMtPEiqcLQ,odV4vlvHxsaz0MVmynLwjg,none
878,42,i9g6106ggjO334SkKovvMg,9ZyNEao2GVdzgVqtyBhV_w,left
380,1361,A2iv1E-USslzO3XukvTGZg,9VsDPpNLc1TqgHP4U2Ne-g,none
842,1387,aKGT9GZ1Yxr-AZ1olZFcGg,JY7xGNTBH3Aa8LbNuJMfkA,none
281,92,hAAJpy5jgnP8uwYbzdA-NQ,WfwYNDXDdp9POhvRlx60yg,right
1416,1392,W9sE4p6j06xTrc_mKVq6cA,LzL7oaOV-waOwQ1cH4dtNw,right
128,815,nAF69yj5W0lrLo_31mDPug,WY1jh_HJ-vXss92FsAx3NQ,left
575,651,jAb9oc3Ix4UsgSQRGbWtwg,y3QRHFAvK34bcXPYxqY3vA,none
1121,937,QODwNjccpMk7X36XoCE3gQ,sbkOwWYGnRqEoR6P9CGiXg,left
857,1095,d1FuIqtSnHcFJBHgVkbwGg,LSBlxtAVvUCTLzGJP4ugGg,left
746,677,IEwYK-gu_WkaUZmY4c7o5w,1RfvoBcnKWWT8xnWr1yNfg,left
53,595,Cqynu0xEljW7u1mlNm0Whw,nPZgJJQ0UzKZPdimCI6QCQ,right
674,1489,0vtV-3stF-CPJdjmE5UsOg,zjenFACffdozXqrDIZU4BQ,right
1148,854,VC_z2n3_YvXvf6cb95MmXg,cHKmfixjJDRwz-G04mcs-g,right
200,676,H8r3U4sq3TZAAH3NJO4F7A,1FjQvBHEOOyz-wHFW6WzjQ,right
178,342,7ttkN-h6ApBZ6dqxxwRXgw,0yb9ELBKhdZuqQjexTRHyQ,left
841,672,aGvXgUhGkgLDcn_UGGq0pg,0oy3unZ_uzFNfCcP0lotaA,left
1434,1176,dEuWDx3K5c-TnK5h2SMymw,_ZvosZhAdS2kuGsAjdi1KA,left
27,1246,5cIFHhuiDQQ0uFZP2-s_Ig,j5pHAgES0SXaL2rngSuY-w,right
883,445,jTMoupnutAmzMsQbl6Kf2Q,PAYd9GNbtTSpY2oeM6tWvg,right
234,21,SXZQl1wGUU9UkbAQ5ZmvpQ,4CVrVJsHnHjdV72E_KKiZw,right
921,865,pO5TP4KOR3A1qqjCyVgVNQ,fq0UpPhwxhzK2JTZ9uT8eA,left
275,1147,f9LQQXsN0PttbppwbPjfcg,V5Ua-CyCqZ_Pgk0RN2Z4WQ,none
1225,729,gqrpx1wttKCA2dZM4enUJg,FKHUq6hxbAVMAH8fd4DXCQ,right
514,527,ad1R5jO1qw-9JdoLcLX5Mg,c6mk9mEfq0zv_LsDEiBuOw,right
779,747,R0nZ3ojECMHqvO9bCUD70Q,IHssWJiVdNTOHBwVBTe4tw,right
1056,1176,C7kiltnEciDZSlAbYOEa7g,_ZvosZhAdS2kuGsAjdi1KA,none
1151,1077,VzvYGqxQg6BrEQROsQLhiw,HfBooURJthOsmYRTykcXMg,right
426,1010,KtBTHoD02Chw_CfP30BWSA,5AuBZmcVX4z4DPJVv2bM4A,none
459,649,RpafFg8Ip38f7STulsrbmg,xD7PkIJ47kRW4mqwFMkgpA,left
979,1301,0l1W4LOi-ziezyCUTXqdOQ,tHv-H6gsl11HasIq7SPRsA,none
958,1148,x0oVRN-0fMx9BMLb8Qqbrg,VC_z2n3_YvXvf6cb95MmXg,left
1139,385,UOmg1ghIvdqObkm1nJpmzw,AnPxn-kX0w36XW1SxoxEDQ,left
182,461,8YNfAIHynkbD7WWqQmy0bw,SGcDCxZQ-k8rFJg4Fq4Nmg,left
419,816,JyG78iWsUf8sy-JC_NaDcw,WgT62qXAPe9h3-MpeX_kSg,right
1380,858,IIdLIB1lvXxGJWwRhPjPSA,d8gU9LEV0NKCJ5S3Wr7bSQ,left
829,222,YR7v3rz-zlaWGmPHJSd3Qg,PVQeSjjZVUrFOs71CZonLQ,none
1233,294,hl-zQ0l48xP6UUFw4i4rtw,o2QuLU7SiESXbwHoDOQSmQ,none
1352,898,5O51VEKWea8YgMGTPDZySw,lT2Xmcw_GyZTsmTJe5vDKg,none
1449,401,iSSwl9OB32ua8NN6g6UpjA,FGL9ud52NcRQuMumwJK_MQ,left
359,923,4fXnzwUsSlGKOiS1Q2pfeg,q5XTr_2zNUEQvReC_StNgA,none
825,1405,XzfrGOPTPehsE4PJLdZrAQ,Qfjuoxc6fuXzrnmhND5ITA,left
1234,1293,hnRMGDcBBJCHi1QJ9aX2Vg,rat3zyM5_6odY7w6K8Wptw,right
553,317,fBB-8fobNuZS7C_pgtreag,vTbgTlPcmZHGbLAQRuyFqA,none
1392,7,LzL7oaOV-waOwQ1cH4dtNw,1d6UboT3Q80InMES825bKQ,left
799,375,UDhSiNU9d-9qjtqVMmgqsA,9Q_VmMlIywrA_0CRv-5xVQ,none
1398,1461,OggOttx8WSzpUfzK0o_PvA,n_OLDP8EWUEwkc6mZtJWNQ,none
1027,785,7sfSC2CCHcxDKchk44xLjg,Rz0FIxKrQIqFO9dBtzzP4w,left
180,91,8MRRBQye1B8ywRWCQn0AhQ,WIpNJVpKWG2IhWPWWwJuVw,none
847,152,bhjpHVea_wOBzUXR5M4uiQ,zH5X8KNrEBFqkxT61EVM6g,none
807,224,VWn0AbWvh4v7NHoJ83savg,PcBaj7Ix7n5UGv6CpInpjQ,none
840,724,a-FcAUArvNu4qEwt5luPjA,DHxMji3Qqknhdi4zj3yvBQ,left
1395,618,Mt0mTM0LqMAPdqhnoEFjzg,sUt7vTRwoZBlJnFORostaw,left
422,1228,KJB2vJgbJO4e4x2Sh-mKTA,hMJTR8ZLz1F86PIDLisl-Q,left
655,25,yaxepvjeXZS7ZQYLiGNTBA,5A1LsTioGokoHyRvYpr2sQ,none
50,1432,CDSeYTxxtBPEQsDaAf0wbg,cHT8ULuO45UT9uMbIf69YA,left
657,351,z0ph9gBkITBLXEJfOh9GwA,3lKzgUWFFZKts8asgiLbkw,left
876,103,i4Jp7avM7c_Fa3ISaSxtxA,acAt-zwo9ka4iY9aFMuueA,left
591,1074,mc2Qw-zkshn2Iao5WxOj5w,HB1cGpO9usHTLloei3BPYQ,left
164,289,1mxDw7n58HSzbouNAWv3fw,krlQWnl7RYrxSg0k9N6RWg,left
1054,902,C-VUPxCLDTb7jLIj2SKaUA,m-Gyo_yXq7qteRP3J4ru_Q,right
513,725,abMxMn6S1FkCEm7-o7BKvw,Dz0C4OgPIxsl744J2L1m4g,none
1193,314,bxbhgFQJRO81Y68lrsWDZQ,v1BmBrdQfJzqHmBg4NjGIg,none
1296,1219,sBMXqdUGE51bmJDmOB83PA,gKUweX83KR38_rSaORylJg,left
644,530,wZft2q1jMcGBYR6tGPn-zw,cPq0xMpRgr6j0mEpEEOD2A,left
577,12,jTlN0yqFbQAgInMK_hTuLQ,2tTX7Vu2M0Az1qkLNs_G-w,right
282,807,hG8bI55F2Slgx1INCkKnyA,VWn0AbWvh4v7NHoJ83savg,none
477,1105,VFNVxxZYKryYZSwupDfjVg,O-MLVYpx13cuuRbYqepLNw,right
1379,1298,H8FIwWyI2ISCK0uui2ZFmQ,sKt0wRQWoOPVaGbZkvZtew,none
945,276,u3KOnw8LDEgtDh7_bTNpTA,f9xXpFomdanlNvI0Dx2lYA,right
1286,1147,puW6CEhvLXChuHMXOhcf7Q,V5Ua-CyCqZ_Pgk0RN2Z4WQ,none
948,1455,uUjibhoMZV1GqrYu8IMI_Q,lSY7FAQuQHx-7uonZIZ-qQ,right
1088,1445,Khjfdt0-OaH8HNzL77INwQ,fx_FVTs6Np4xBIZRju--gQ,right
1294,272,reHe560CgQOZJVZ_0qDb7Q,eUl63Xe21vzco1TvRgcTxw,right
1185,1284,aqelXJsbVKVEKuLmJuCYaA,pa553g3d7DS1tZ8Vo-s32A,left
389,917,C9nqTJg5PQHpUhfeUsZU3w,od6wIRP7_7A40ocs9sPNBA,left
105,439,ayXK2nLiN0XA8Ie92odZJA,NOJb6AdwvkKHr3x-zRUWAw,none
315,540,vQprtxUmC2DRratdnNCFCw,dxX99a68A36kRB4zedYeIQ,none
1304,1215,uKAqh96bD1FoqmD-KbxsoQ,g8cwkOkUug8WshR4BR1Hjw,right
1074,288,HB1cGpO9usHTLloei3BPYQ,kHNywQHWcRKv7q88euiPOw,right
864,807,fhkxUp8EkiGo7iipwlOUsw,VWn0AbWvh4v7NHoJ83savg,left
122,86,jHf_2ISZr7DWmeDlXCkhKQ,T7G9IC9XV9L_1iI7f8JOSg,none
77,1392,OBZ1lfd9BIa-mciIO3ZxEw,LzL7oaOV-waOwQ1cH4dtNw,right
87,560,TMu39Ej-cT0bQTKvuXpOvQ,gkLFSid0A9fX4EeaOrWrdA,left
1021,780,7HTUl1zqjyXwXkBQ0D2rQg,RBjIH51-8MpXXtAJr7llFg,right
796,583,ToZFfswH0ztU8Ir_PX0Y-w,krEeCoezbIsRAhH2b7o-VA,left
921,1106,pO5TP4KOR3A1qqjCyVgVNQ,OQvYjXGRY9bJcgDmoylDpg,none
401,1126,FGL9ud52NcRQuMumwJK_MQ,Rjf1re_iHgKnIhZIgVLLeg,right
311,474,sskqOSko2D10rtYjINnb6Q,UitFIHz0jc9If0HExYOS-g,left
710,144,AmoCNu_EJHAZfTuT2yH6Bw,trsKaS2RBieOZMNERkSUsg,none
745,1065,I4eCovl7CMkocL0ofJBImQ,ENIEXfFfjqPaiOa0BinL2A,none
1195,925,cQfGXmrhiyeSYVLQJPtbDw,q8EQsjiLNA3mm7TNhF8pww,right
240,1475,VYAYOEIV2WMT83sRJ6bogA,tYcDmRX2phZZAnydBhZaRA,left
1147,863,V5Ua-CyCqZ_Pgk0RN2Z4WQ,fCiLUx7i-17hnE0bP1BkEw,right
1101,1119,NOb7_KFSZnbc8rCJBiLDlw,PkUWXV7lvuQHToyihH6I9g,left
439,349,NOJb6AdwvkKHr3x-zRUWAw,3AL7OvvI0E8r93a38XSCEw,none
515,1095,at16_h7SqamcLSjfOsIaDw,LSBlxtAVvUCTLzGJP4ugGg,left
1062,1087,D87cwJF4f9GRLedvSS7SfA,KgEXqKWH-nTMtdsIAXJgCQ,right
824,974,XVSDF_rQLeluozvNxzq1VQ,-vAjYmBVvusdqMiZFxPAKA,left
1381,1331,IaJ0Ga468ydyjnqtC8kZ7A,z4fl92wvyhLgXNWMuH_KDQ,left
1469,81,rXGXkO-qslL2aFoVwWS6aw,PnDiDhAVYtvsxnjYhjBtvg,right
1080,1060,ICb9TcWRiisSmuRpGHVx7w,Cy1rS_1xwqpIV1Pw3RbFVA,left
1041,555,ALrcP3CNO39xS3TGLp8cvg,fQshxH3GC82GOB4LxSXHdA,left
501,180,ZWCBnT60zpLPQJUustA81Q,8MRRBQye1B8ywRWCQn0AhQ,none
518,309,bLNhveR7NdW7ftkrra7mew,sKvqdFZNJBJFYZr1PT-nHg,none
1170,326,_COLweX-veDk-FG-jxd96Q,yK3wqHKnvJkfRmWNV2gkyg,right
1096,234,LU8B2Tzer3NOTnKucYTGfw,SXZQl1wGUU9UkbAQ5ZmvpQ,none
764,1280,NTAIvsaxqB3aTZCcY0nvHA,oy1cFR_Qwagg4LsGo-P2ww,left
1279,469,oqgGfy8Vp4NpHnJ8PnUeXQ,T_9XKg6Apt3p3OOYUpfMmg,left
1417,227,XR0ubPpmSWW3jeBHuIyB4g,PxU6bSIK2qlqgtMOLfhf6w,none
